Elapsed Time (ms);ECEF X (m);ECEF Y (m);ECEF Z (m);ECEF Error X (m);ECEF Error Y (m);ECEF Error Z (m);Body Azimuth (rad);Body Elevation (rad);Range (m);PSR (m);ADR;Clock Correction (s);Clock Noise (m);Delta Af0 (s);Delta Af1 (s/s);Iono Correction (m);Tropo Correction (m);PSR Offset (m);Receiver Antenna Azimuth (rad);Receiver Antenna Elevation (rad);Receiver Antenna Gain (dBi);SV Antenna Azimuth (rad);SV Antenna Elevation (rad);Relative Power Level (incl. Receiver Antenna gain) (dB);Doppler Frequency (Hz);PSR Change Rate (m/s);Receiver Carrier Phase Offset (rad);Satellite Carrier Phase Offset (rad);GPS TOW;GPS Week Number;SBAS t0;Calibration offset (m);PSR satellite time (ms);;Doppler;Drift;Jerk
1500;6891467.935;467821.8986;550268.9621;0;0;0;0.70459247;0.617891211;886091.7383;1226659.138;6446137.277;-0.001135996;0;0;0;0;4.239020206;0;0.70459247;0.617891211;-0.68961621;-3.029117966;0.722314328;7.31038379;-28427.92978;5409.655168;0;0;86401.5;2163;0;0;1495.908306;;-28433.59632;-116.7926;2.166
1600;6891392.74;468192.3394;550895.2371;0;0;0;0.704421754;0.617353539;886632.8117;1227200.215;6448980.655;-0.001135996;0;0;0;0;4.242204854;0;0.704421754;0.617353539;-0.694237166;-3.029288332;0.721880712;7.305762834;-28439.61988;5411.87972;0;0;86401.6;2163;0;0;1595.906501;;-28445.27558;-116.576;2.165
1700;6891317.468;468562.7757;551521.5056;0;0;0;0.704251377;0.616816443;887174.1073;1227741.514;6451825.201;-0.001135996;0;0;0;0;4.245392069;0;0.704251377;0.616816443;-0.698853164;-3.02945836;0.721447675;7.301146836;-28451.28842;5414.100169;0;0;86401.7;2163;0;0;1695.904695;;-28456.93318;-116.3595;2.157
1800;6891242.12;468933.2076;552147.7674;0;0;0;0.704081339;0.616279923;887715.6247;1228283.035;6454670.912;-0.001135996;0;0;0;0;4.248581851;0;0.704081339;0.616279923;-0.703464211;-3.029628047;0.721015218;7.296535789;-28462.93554;5416.316542;0;0;86401.8;2163;0;0;1795.902889;;-28468.56913;-116.1438;2.157
1900;6891166.695;469303.6349;552774.0225;0;0;0;0.703911638;0.615743979;888257.3636;1228824.777;6457517.787;-0.001135996;0;0;0;0;4.251774199;0;0.703911638;0.615743979;-0.708070314;-3.029797398;0.720583339;7.291929686;-28474.56062;5418.528722;0;0;86401.9;2163;0;0;1895.901082;;-28480.18351;-115.9281;2.15
2000;6891091.193;469674.0577;553400.2711;0;0;0;0.703742274;0.615208609;888799.3234;1229366.74;6460365.823;-0.001135996;0;0;0;0;4.254969115;0;0.703742274;0.615208609;-0.712671479;-3.029966414;0.720152038;7.287328521;-28486.16453;5420.736872;0;0;86402;2163;0;0;1995.899274;;-28491.77632;-115.7131;2.145
2100;6891015.614;470044.4761;554026.513;0;0;0;0.703573246;0.614673813;889341.5039;1229908.924;6463215.019;-0.001135996;0;0;0;0;4.2581666;0;0.703573246;0.614673813;-0.717267713;-3.030135094;0.719721313;7.282732287;-28497.74656;5422.940859;0;0;86402.1;2163;0;0;2095.897465;;-28503.34763;-115.4986;2.143
2200;6890939.958;470414.8899;554652.7483;0;0;0;0.703404552;0.61413959;889883.9046;1230451.328;6466065.372;-0.001135996;0;0;0;0;4.261366653;0;0.703404552;0.61413959;-0.721859021;-3.030303443;0.719291165;7.278140979;-28509.30723;5425.140782;0;0;86402.2;2163;0;0;2195.895656;;-28514.89749;-115.2843;2.137
2300;6890864.226;470785.2992;555278.9769;0;0;0;0.703236191;0.613605939;890426.525;1230993.952;6468916.88;-0.001135996;0;0;0;0;4.264569274;0;0.703236191;0.613605939;-0.726445411;-3.030471456;0.718861592;7.273554589;-28520.84671;5427.336672;0;0;86402.3;2163;0;0;2295.893846;;-28526.42592;-115.0706;2.133
2400;6890788.416;471155.704;555905.1989;0;0;0;0.703068163;0.61307286;890969.3649;1231536.795;6471769.541;-0.001135996;0;0;0;0;4.267774466;0;0.703068163;0.61307286;-0.73102689;-3.030639138;0.718432593;7.26897311;-28532.36438;5429.528412;0;0;86402.4;2163;0;0;2395.892035;;-28537.93298;-114.8573;2.128
2500;6890712.53;471526.1043;556531.4142;0;0;0;0.702900467;0.612540351;891512.4237;1232079.858;6474623.352;-0.001135996;0;0;0;0;4.270982227;0;0.702900467;0.612540351;-0.735603463;-3.030806489;0.718004168;7.264396537;-28543.86109;5431.716163;0;0;86402.5;2163;0;0;2495.890224;;-28549.41871;-114.6445;2.127
2600;6890636.567;471896.5;557157.6228;0;0;0;0.702733101;0.612008413;892055.701;1232623.138;6477478.312;-0.001135996;0;0;0;0;4.274192559;0;0.702733101;0.612008413;-0.740175137;-3.03097351;0.717576316;7.259824863;-28555.33615;5433.899793;0;0;86402.6;2163;0;0;2595.888412;;-28560.88316;-114.4318;2.118
2700;6890560.528;472266.8913;557783.8247;0;0;0;0.702566065;0.611477044;892599.1966;1233166.637;6480334.419;-0.001135996;0;0;0;0;4.277405462;0;0.702566065;0.611477044;-0.744741918;-3.031140203;0.717149036;7.255258082;-28566.79008;5436.079405;0;0;86402.7;2163;0;0;2695.886599;;-28572.32634;-114.22;2.117
2800;6890484.411;472637.278;558410.02;0;0;0;0.702399358;0.610946243;893142.9099;1233710.354;6483191.669;-0.001135996;0;0;0;0;4.280620936;0;0.702399358;0.610946243;-0.749303814;-3.031306566;0.716722328;7.250696186;-28578.22299;5438.255014;0;0;86402.8;2163;0;0;2795.884785;;-28583.74834;-114.0083;2.111
2900;6890408.218;473007.6601;559036.2085;0;0;0;0.702232978;0.61041601;893686.8405;1234254.288;6486050.063;-0.001135996;0;0;0;0;4.283838982;0;0.702232978;0.61041601;-0.75386083;-3.031472604;0.71629619;7.24613917;-28589.63432;5440.426519;0;0;86402.9;2163;0;0;2895.882971;;-28595.14917;-113.7972;2.108
3000;6890331.948;473378.0378;559662.3904;0;0;0;0.702066925;0.609886344;894230.9881;1234798.439;6488909.596;-0.001135996;0;0;0;0;4.287059601;0;0.702066925;0.609886344;-0.758412974;-3.031638315;0.715870622;7.241587026;-28601.02491;5442.594076;0;0;86403;2163;0;0;2995.881156;;-28606.52889;-113.5864;2.103
3100;6890255.601;473748.4109;560288.5655;0;0;0;0.701901198;0.609357245;894775.3523;1235342.807;6491770.267;-0.001135996;0;0;0;0;4.290282794;0;0.701901198;0.609357245;-0.762960251;-3.031803701;0.715445623;7.237039749;-28612.39407;5444.757555;0;0;86403.1;2163;0;0;3095.87934;;-28617.88753;-113.3761;2.098
3200;6890179.177;474118.7794;560914.7339;0;0;0;0.701735796;0.60882871;895319.9326;1235887.391;6494632.074;-0.001135996;0;0;0;0;4.293508559;0;0.701735796;0.60882871;-0.767502668;-3.031968763;0.715021193;7.232497332;-28623.74229;5446.91705;0;0;86403.2;2163;0;0;3195.877523;;-28629.22514;-113.1663;2.095
3300;6890102.677;474489.1434;561540.8956;0;0;0;0.701570718;0.608300741;895864.7286;1236432.19;6497495.015;-0.001135996;0;0;0;0;4.296736899;0;0.701570718;0.608300741;-0.772040231;-3.0321335;0.71459733;7.227959769;-28635.06975;5449.072594;0;0;86403.3;2163;0;0;3295.875706;;-28640.54177;-112.9568;2.091
3400;6890026.099;474859.5029;562167.0506;0;0;0;0.701405963;0.607773335;896409.74;1236977.205;6500359.087;-0.001135996;0;0;0;0;4.299967814;0;0.701405963;0.607773335;-0.776572947;-3.032297916;0.714174034;7.223427053;-28646.37582;5451.224067;0;0;86403.4;2163;0;0;3395.873888;;-28651.83745;-112.7477;2.086
3500;6889949.445;475229.8578;562793.1988;0;0;0;0.70124153;0.607246493;896954.9663;1237522.435;6503224.289;-0.001135996;0;0;0;0;4.303201304;0;0.70124153;0.607246493;-0.781100823;-3.03246201;0.713751305;7.218899177;-28657.66136;5453.371634;0;0;86403.5;2163;0;0;3495.872069;;-28663.11222;-112.5391;2.081
3600;6889872.714;475600.2082;563419.3402;0;0;0;0.701077418;0.606720213;897500.4072;1238067.879;6506090.619;-0.001135996;0;0;0;0;4.30643737;0;0.701077418;0.606720213;-0.785623865;-3.032625784;0.71332914;7.214376135;-28668.92568;5455.515162;0;0;86403.6;2163;0;0;3595.87025;;-28674.36613;-112.331;2.079
3700;6889795.907;475970.554;564045.4749;0;0;0;0.700913627;0.606194495;898046.0623;1238613.538;6508958.074;-0.001135996;0;0;0;0;4.309676012;0;0.700913627;0.606194495;-0.790142079;-3.03278924;0.712907541;7.209857921;-28680.16929;5457.65475;0;0;86403.7;2163;0;0;3695.86843;;-28685.59923;-112.1231;2.072
3800;6889719.022;476340.8952;564671.6029;0;0;0;0.700750154;0.605669338;898591.9311;1239159.41;6511826.652;-0.001135996;0;0;0;0;4.312917231;0;0.700750154;0.605669338;-0.794655472;-3.032952375;0.712486505;7.205344528;-28691.39232;5459.790422;0;0;86403.8;2163;0;0;3795.866609;;-28696.81154;-111.9159;2.069
3900;6889642.061;476711.2319;565297.724;0;0;0;0.700587;0.605144741;899138.0132;1239705.496;6514696.351;-0.001135996;0;0;0;0;4.316161028;0;0.700587;0.605144741;-0.79916405;-3.033115193;0.712066032;7.20083595;-28702.59419;5461.922068;0;0;86403.9;2163;0;0;3895.864788;;-28708.00313;-111.709;2.066999999
4000;6889565.023;477081.564;565923.8384;0;0;0;0.700424164;0.604620704;899684.3084;1240251.794;6517567.17;-0.001135996;0;0;0;0;4.319407403;0;0.700424164;0.604620704;-0.80366782;-3.033277694;0.711646121;7.19633218;-28713.77575;5464.049847;0;0;86404;2163;0;0;3995.862965;;-28719.17403;-111.5023;2.059
4100;6889487.908;477451.8915;566549.946;0;0;0;0.700261644;0.604097225;900230.8161;1240798.306;6520439.106;-0.001135996;0;0;0;0;4.322656357;0;0.700261644;0.604097225;-0.808166788;-3.03343988;0.711226772;7.191833212;-28724.9363;5466.17363;0;0;86404.1;2163;0;0;4095.861142;;-28730.32426;-111.2964;2.058
4200;6889410.716;477822.2145;567176.0468;0;0;0;0.70009944;0.603574304;900777.536;1241345.029;6523312.157;-0.001135996;0;0;0;0;4.32590789;0;0.70009944;0.603574304;-0.81266096;-3.03360175;0.710807984;7.18733904;-28736.07632;5468.293504;0;0;86404.2;2163;0;0;4195.859319;;-28741.4539;-111.0906;2.051
4300;6889333.448;478192.5329;567802.1408;0;0;0;0.69993755;0.603051941;901324.4676;1241891.964;6526186.32;-0.001135996;0;0;0;0;4.329162004;0;0.69993755;0.603051941;-0.817150343;-3.033763306;0.710389756;7.182849657;-28747.196;5470.40951;0;0;86404.3;2163;0;0;4295.857494;;-28752.56296;-110.8855;2.05
4400;6889256.103;478562.8467;568428.228;0;0;0;0.699775974;0.602530134;901871.6107;1242439.111;6529061.595;-0.001135996;0;0;0;0;4.332418698;0;0.699775974;0.602530134;-0.821634944;-3.033924549;0.709972087;7.178365056;-28758.29473;5472.521528;0;0;86404.4;2163;0;0;4395.855669;;-28763.65151;-110.6805;2.043
4500;6889178.681;478933.1559;569054.3084;0;0;0;0.699614711;0.602008883;902418.9648;1242986.468;6531937.979;-0.001135996;0;0;0;0;4.335677973;0;0.699614711;0.602008883;-0.826114769;-3.034085481;0.709554977;7.173885231;-28769.37333;5474.629715;0;0;86404.5;2163;0;0;4495.853843;;-28774.71956;-110.4762;2.041
4600;6889101.182;479303.4605;569680.382;0;0;0;0.69945376;0.601488186;902966.5295;1243534.037;6534815.469;-0.001135996;0;0;0;0;4.33893983;0;0.69945376;0.601488186;-0.830589823;-3.034246101;0.709138424;7.169410177;-28780.43115;5476.733948;0;0;86404.6;2163;0;0;4595.852017;;-28785.76718;-110.2721;2.035
4700;6889023.606;479673.7606;570306.4487;0;0;0;0.69929312;0.600968044;903514.3045;1244081.815;6537694.064;-0.001135996;0;0;0;0;4.342204269;0;0.69929312;0.600968044;-0.835060115;-3.03440641;0.708722428;7.164939885;-28791.46867;5478.834319;0;0;86404.7;2163;0;0;4695.85019;;-28796.79439;-110.0686;2.032
4800;6888945.954;480044.056;570932.5086;0;0;0;0.69913279;0.600448456;904062.2892;1244629.803;6540573.762;-0.001135996;0;0;0;0;4.345471292;0;0.69913279;0.600448456;-0.839525649;-3.03456641;0.708306989;7.160474351;-28802.48605;5480.930856;0;0;86404.8;2163;0;0;4795.848362;;-28807.80125;-109.8654;2.027
4900;6888868.225;480414.3469;571558.5616;0;0;0;0.69897277;0.59992942;904610.4835;1245178.001;6543454.561;-0.001135996;0;0;0;0;4.348740898;0;0.69897277;0.59992942;-0.843986433;-3.0347261;0.707892105;7.156013567;-28813.48265;5483.02344;0;0;86404.9;2163;0;0;4895.846533;;-28818.78779;-109.6627;2.025
5000;6888790.419;480784.6331;572184.6078;0;0;0;0.698813058;0.599410936;905158.8868;1245726.408;6546336.458;-0.001135996;0;0;0;0;4.352013089;0;0.698813058;0.599410936;-0.848442472;-3.034885483;0.707477776;7.151557528;-28824.45937;5485.11224;0;0;86405;2163;0;0;4995.844704;;-28829.75406;-109.4602;2.018
5100;6888712.536;481154.9148;572810.6471;0;0;0;0.698653654;0.598893004;905707.4987;1246275.023;6549219.452;-0.001135996;0;0;0;0;4.355287865;0;0.698653654;0.598893004;-0.852893774;-3.03504456;0.707064001;7.147106226;-28835.4155;5487.197122;0;0;86405.1;2163;0;0;5095.842874;;-28840.70008;-109.2584;2.016
5200;6888634.577;481525.1918;573436.6796;0;0;0;0.698494556;0.598375622;906256.319;1246823.847;6552103.54;-0.001135996;0;0;0;0;4.358565227;0;0.698494556;0.598375622;-0.857340344;-3.035203331;0.70665078;7.142659656;-28846.35153;5489.27818;0;0;86405.2;2163;0;0;5195.841043;;-28851.62592;-109.0568;2.01
5300;6888556.541;481895.4642;574062.7051;0;0;0;0.698335764;0.59785879;906805.3472;1247372.879;6554988.721;-0.001135996;0;0;0;0;4.361845175;0;0.698335764;0.59785879;-0.86178219;-3.035361796;0.70623811;7.13821781;-28857.26763;5491.355444;0;0;86405.3;2163;0;0;5295.839212;;-28862.5316;-108.8558;2.009
5400;6888478.428;482265.7321;574688.7238;0;0;0;0.698177277;0.597342507;907354.5829;1247922.118;6557874.993;-0.001135996;0;0;0;0;4.365127711;0;0.698177277;0.597342507;-0.866219316;-3.035519956;0.705825993;7.133780684;-28868.16318;5493.428799;0;0;86405.4;2163;0;0;5395.83738;;-28873.41718;-108.6549;2.001
5500;6888400.238;482635.9953;575314.7356;0;0;0;0.698019095;0.596826772;907904.0258;1248471.565;6560762.353;-0.001135996;0;0;0;0;4.368412834;0;0.698019095;0.596826772;-0.87065173;-3.035677814;0.705414427;7.12934827;-28879.03902;5495.498402;0;0;86405.5;2163;0;0;5495.835547;;-28884.28267;-108.4548;2.001
5600;6888321.971;483006.2538;575940.7405;0;0;0;0.697861215;0.596311585;908453.6754;1249021.218;6563650.8;-0.001135996;0;0;0;0;4.371700545;0;0.697861215;0.596311585;-0.875079439;-3.035835369;0.70500341;7.124920561;-28889.89449;5497.564129;0;0;86405.6;2163;0;0;5595.833714;;-28895.12815;-108.2547;1.993
5700;6888243.628;483376.5078;576566.7385;0;0;0;0.697703638;0.595796944;909003.5314;1249571.077;6566540.332;-0.001135996;0;0;0;0;4.374990846;0;0.697703638;0.595796944;-0.879502447;-3.035992622;0.704592944;7.120497553;-28900.73006;5499.62607;0;0;86405.7;2163;0;0;5695.83188;;-28905.95362;-108.0554;1.992
5800;6888165.208;483746.7571;577192.7296;0;0;0;0.697546362;0.59528285;909553.5934;1250121.143;6569430.946;-0.001135996;0;0;0;0;4.378283737;0;0.697546362;0.59528285;-0.883920763;-3.036149575;0.704183026;7.116079237;-28911.5459;5501.684255;0;0;86405.8;2163;0;0;5795.830045;;-28916.75916;-107.8562;1.986
5900;6888086.711;484117.0018;577818.7137;0;0;0;0.697389387;0.594769301;910103.861;1250671.414;6572322.64;-0.001135996;0;0;0;0;4.381579218;0;0.697389387;0.594769301;-0.888334391;-3.036306227;0.703773656;7.111665609;-28922.3414;5503.738571;0;0;86405.9;2163;0;0;5895.828209;;-28927.54478;-107.6576;1.983
6000;6888008.137;484487.2419;578444.6909;0;0;0;0.697232711;0.594256296;910654.3339;1251221.89;6575215.413;-0.001135996;0;0;0;0;4.384877291;0;0.697232711;0.594256296;-0.892743339;-3.036462581;0.703364834;7.107256661;-28933.1174;5505.789175;0;0;86406;2163;0;0;5995.826373;;-28938.31054;-107.4593;1.979
6100;6887929.487;484857.4773;579070.6612;0;0;0;0.697076335;0.593743836;911205.0117;1251772.572;6578109.263;-0.001135996;0;0;0;0;4.388177955;0;0.697076335;0.593743836;-0.897147613;-3.036618635;0.702956558;7.102852387;-28943.87322;5507.835941;0;0;86406.1;2163;0;0;6095.824536;;-28949.05647;-107.2614;1.975
6200;6887850.759;485227.7081;579696.6246;0;0;0;0.696920256;0.593231919;911755.8939;1252323.458;6581004.187;-0.001135996;0;0;0;0;4.391481213;0;0.696920256;0.593231919;-0.901547219;-3.036774394;0.702548827;7.098452781;-28954.60936;5509.87896;0;0;86406.2;2163;0;0;6195.822699;;-28959.78261;-107.0639;1.97
6300;6887771.955;485597.9342;580322.5809;0;0;0;0.696764475;0.592720544;912306.9802;1252874.547;6583900.184;-0.001135996;0;0;0;0;4.394787064;0;0.696764475;0.592720544;-0.905942163;-3.036929854;0.702141642;7.094057837;-28965.32596;5511.918262;0;0;86406.3;2163;0;0;6295.82086;;-28970.489;-106.8669;1.967
6400;6887693.074;485968.1557;580948.5304;0;0;0;0.69660899;0.59220971;912858.2703;1253425.841;6586797.252;-0.001135996;0;0;0;0;4.398095509;0;0.69660899;0.59220971;-0.910332452;-3.037085019;0.701735001;7.089667548;-28976.02244;5513.953733;0;0;86406.4;2163;0;0;6395.819021;;-28981.17569;-106.6702;1.962
6500;6887614.117;486338.3726;581574.4728;0;0;0;0.696453801;0.591699418;913409.7637;1253977.338;6589695.388;-0.001135996;0;0;0;0;4.401406549;0;0.696453801;0.591699418;-0.914718092;-3.03723989;0.701328904;7.085281908;-28986.69958;5515.985525;0;0;86406.5;2163;0;0;6495.817182;;-28991.84271;-106.474;1.959
6600;6887535.083;486708.5848;582200.4083;0;0;0;0.696298907;0.591189666;913961.4602;1254529.038;6592594.591;-0.001135996;0;0;0;0;4.404720185;0;0.696298907;0.591189666;-0.91909909;-3.037394467;0.70092335;7.08090091;-28997.35679;5518.013524;0;0;86406.6;2163;0;0;6595.815342;;-29002.49011;-106.2781;1.955
6700;6887455.972;487078.7923;582826.3368;0;0;0;0.696144306;0.590680453;914513.3592;1255080.941;6595494.859;-0.001135996;0;0;0;0;4.408036418;0;0.696144306;0.590680453;-0.923475451;-3.03754875;0.700518337;7.076524549;-29007.99447;5520.037809;0;0;86406.7;2163;0;0;6695.813501;;-29013.11792;-106.0826;1.95
6800;6887376.784;487448.9952;583452.2583;0;0;0;0.695989999;0.590171779;915065.4605;1255633.045;6598396.189;-0.001135996;0;0;0;0;4.411355247;0;0.695989999;0.590171779;-0.927847182;-3.037702741;0.700113866;7.072152818;-29018.61287;5522.058422;0;0;86406.8;2163;0;0;6795.811659;;-29023.72618;-105.8876;1.947
6900;6887297.519;487819.1934;584078.1729;0;0;0;0.695835983;0.589663643;915617.7636;1256185.352;6601298.581;-0.001135996;0;0;0;0;4.414676675;0;0.695835983;0.589663643;-0.93221429;-3.03785644;0.699709936;7.06778571;-29029.21129;5524.075235;0;0;86406.9;2163;0;0;6895.809817;;-29034.31494;-105.6929;1.943
7000;6887218.178;488189.387;584704.0804;0;0;0;0.695682259;0.589156044;916170.2683;1256737.86;6604202.031;-0.001135996;0;0;0;0;4.418000702;0;0.695682259;0.589156044;-0.936576779;-3.038009848;0.699306545;7.063423221;-29039.79061;5526.088413;0;0;86407;2163;0;0;6995.807974;;-29044.88423;-105.4986;1.938
7100;6887138.759;488559.5758;585329.9809;0;0;0;0.695528826;0.588648982;916722.974;1257290.57;6607106.538;-0.001135996;0;0;0;0;4.421327328;0;0.695528826;0.588648982;-0.940934658;-3.038162966;0.698903694;7.059065342;-29050.35018;5528.097832;0;0;86407.1;2163;0;0;7095.80613;;-29055.43409;-105.3048;1.937
7200;6887059.265;488929.76;585955.8744;0;0;0;0.695375683;0.588142455;917275.8806;1257843.48;6610012.1;-0.001135996;0;0;0;0;4.424656554;0;0.695375683;0.588142455;-0.945287932;-3.038315797;0.698501381;7.054712068;-29060.89044;5530.103578;0;0;86407.2;2163;0;0;7195.804286;;-29065.96457;-105.1111;1.928
7300;6886979.693;489299.9396;586581.7608;0;0;0;0.695222828;0.587636464;917828.9875;1258396.59;6612918.716;-0.001135996;0;0;0;0;4.427988382;0;0.695222828;0.587636464;-0.949636607;-3.038468337;0.698099605;7.050363393;-29071.41158;5532.105683;0;0;86407.3;2163;0;0;7295.802441;;-29076.47568;-104.9183;1.929
7400;6886900.044;489670.1144;587207.6402;0;0;0;0.695070262;0.587131007;918382.2944;1258949.901;6615826.382;-0.001135996;0;0;0;0;4.431322812;0;0.695070262;0.587131007;-0.95398069;-3.03862059;0.697698367;7.04601931;-29081.91299;5534.104035;0;0;86407.4;2163;0;0;7395.800595;;-29086.96751;-104.7254;1.922
7500;6886820.319;490040.2846;587833.5126;0;0;0;0.694917983;0.586626084;918935.801;1259503.411;6618735.098;-0.001135996;0;0;0;0;4.434659844;0;0.694917983;0.586626084;-0.958320187;-3.038772558;0.697297665;7.041679813;-29092.39546;5536.098783;0;0;86407.5;2163;0;0;7495.798749;;-29097.44005;-104.5332;1.919
7600;6886740.517;490410.4501;588459.3779;0;0;0;0.694765991;0.586121693;919489.5069;1260057.12;6621644.86;-0.001135996;0;0;0;0;4.437999481;0;0.694765991;0.586121693;-0.962655104;-3.038924238;0.696897498;7.037344896;-29102.8584;5538.089814;0;0;86407.6;2163;0;0;7595.796902;;-29107.89337;-104.3413;1.916
7700;6886660.639;490780.6109;589085.2362;0;0;0;0.694614284;0.585617835;920043.4117;1260611.029;6624555.669;-0.001135996;0;0;0;0;4.441341721;0;0.694614284;0.585617835;-0.966985448;-3.039075635;0.696497866;7.033014552;-29113.3022;5540.077202;0;0;86407.7;2163;0;0;7695.795054;;-29118.3275;-104.1497;1.911
7800;6886580.683;491150.7669;589711.0874;0;0;0;0.694462862;0.585114508;920597.515;1261165.136;6627467.52;-0.001135996;0;0;0;0;4.444686567;0;0.694462862;0.585114508;-0.971311224;-3.039226745;0.696098767;7.028688776;-29123.72709;5542.060994;0;0;86407.8;2163;0;0;7795.793206;;-29128.74247;-103.9586;1.907
7900;6886500.651;491520.9184;590336.9316;0;0;0;0.694311725;0.584611712;921151.8166;1261719.441;6630380.413;-0.001135996;0;0;0;0;4.448034019;0;0.694311725;0.584611712;-0.975632439;-3.039377573;0.695700202;7.024367561;-29134.13242;5544.041062;0;0;86407.9;2163;0;0;7895.791357;;-29139.13833;-103.7679;1.904
8000;6886420.542;491891.0651;590962.7686;0;0;0;0.694160871;0.584109446;921706.3159;1262273.944;6633294.346;-0.001135996;0;0;0;0;4.451384078;0;0.694160871;0.584109446;-0.979949099;-3.039528119;0.69530217;7.020050901;-29144.51905;5546.017572;0;0;86408;2163;0;0;7995.789507;;-29149.51512;-103.5775;1.9
8100;6886340.356;492261.2071;591588.5986;0;0;0;0.694010299;0.583607709;922261.0127;1262828.644;6636209.317;-0.001135996;0;0;0;0;4.454736745;0;0.694010299;0.583607709;-0.984261211;-3.039678382;0.694904669;7.015738789;-29154.88633;5547.990399;0;0;86408.1;2163;0;0;8095.787657;;-29159.87287;-103.3875;1.895
