Elapsed Time (ms),ECEF X (m),ECEF Y (m),ECEF Z (m),ECEF Error X (m),ECEF Error Y (m),ECEF Error Z (m),Body Azimuth (rad),Body Elevation (rad),Range (m),PSR (m),ADR,Clock Correction (s),Clock Noise (m),Delta Af0 (s),Delta Af1 (s/s),Iono Correction (m),Tropo Correction (m),PSR Offset (m),Receiver Antenna Azimuth (rad),Receiver Antenna Elevation (rad),Receiver Antenna Gain (dBi),SV Antenna Azimuth (rad),SV Antenna Elevation (rad),Relative Power Level (incl. Receiver Antenna gain) (dB),Doppler Frequency (Hz),PSR Change Rate (m/s),Receiver Carrier Phase Offset (rad),Satellite Carrier Phase Offset (rad),GPS TOW,GPS Week Number,SBAS t0,Calibration offset (m),PSR satellite time (ms)
6500,8988086.362472,466533.692732,14096.94780353,0,0,0,1.540589162621,1.393833286051,2651353.20304,965644.080393579,5074493.892484,0.005622928729059,0,0,0,0,2.502197139375,0,1.540589162621,1.393833286051,4.493038231779,-2.839444661884,1.445716159457,12.49303823178,-3735.522863036,710.8463654295,0,0,86406.500,2163,0,0,6496.77895806
6600,8988056.797881,467096.395213,14314.06116467,0,0,0,1.540161145177,1.393620055935,2651424.334906,965715.212740358,5074867.695489,0.005622928727773,0,0,0,0,2.502291804049,0,1.540161145177,1.393620055935,4.492427372494,-2.839872114155,1.44556624056,12.49242737249,-3740.537169803,711.8005562807,0,0,86406.600,2163,0,0,6596.778720788
6700,8988027.192825,467659.0955946,14531.17444704,0,0,0,1.539734168957,1.393406803653,2651495.562189,965786.4405028,5075241.999907,0.005622928726487,0,0,0,0,2.502386599452,0,1.539734168957,1.393406803653,4.491816449706,-2.840298525116,1.445416308973,12.49181644971,-3745.551111957,712.7546777483,0,0,86406.700,2163,0,0,6696.778483198
6800,8987997.547303,468221.7938742,14748.28764945,0,0,0,1.53930823032,1.393193529335,2651566.884878,965857.7636729,5075616.805695,0.005622928725201,0,0,0,0,2.502481525587,0,1.53930823032,1.393193529335,4.491205463792,-2.840723899514,1.445266364793,12.49120546379,-3750.564590392,713.7087109732,0,0,86406.800,2163,0,0,6796.77824529
6900,8987967.861317,468784.4900494,14965.40077065,0,0,0,1.538883325638,1.392980233113,2651638.302967,965929.182242628,5075992.112813,0.005622928723915,0,0,0,0,2.502576582454,0,1.538883325638,1.392980233113,4.490594415127,-2.841148238597,1.445116408117,12.49059441513,-3755.577682802,714.6626707399,0,0,86406.900,2163,0,0,6896.778007063
7000,8987938.134865,469347.1841178,15182.51380953,0,0,0,1.538459451301,1.392766915118,2651709.816448,966000.696203985,5076367.921216,0.005622928722629,0,0,0,0,2.502671770055,0,1.538459451301,1.392766915118,4.489983304086,-2.841571549156,1.44496643904,12.48998330409,-3760.590337187,715.6165471533,0,0,86407.000,2163,0,0,6996.777768518
7100,8987908.367949,469909.8760769,15399.62676488,0,0,0,1.538036603713,1.392553575479,2651781.425312,966072.305548933,5076744.230864,0.005622928721343,0,0,0,0,2.502767088391,0,1.538036603713,1.392553575479,4.48937213104,-2.841993832424,1.444816457659,12.48937213104,-3765.602535194,716.5703367209,0,0,86407.100,2163,0,0,7096.777529655
7200,8987878.560569,470472.5659242,15616.73963548,0,0,0,1.537614779297,1.392340214326,2651853.129551,966144.010269424,5077121.041713,0.005622928720057,0,0,0,0,2.502862537463,0,1.537614779297,1.392340214326,4.488760896361,-2.842415092853,1.444666464069,12.48876089636,-3770.6143796,717.5240590004,0,0,86407.200,2163,0,0,7196.777290474
7300,8987848.712724,471035.2536573,15833.85242018,0,0,0,1.537193974489,1.392126831787,2651924.929158,966215.81035741,5077498.353722,0.00562292871877,0,0,0,0,2.502958117272,0,1.537193974489,1.392126831787,4.488149600416,-2.842835333226,1.444516458365,12.48814960042,-3775.625735816,718.4776883805,0,0,86407.300,2163,0,0,7296.777050975
7400,8987818.824415,471597.9392737,16050.96511774,0,0,0,1.536774185743,1.391913427991,2651996.824124,966287.70580482,5077876.166848,0.005622928717484,0,0,0,0,2.503053827821,0,1.536774185743,1.391913427991,4.487538243575,-2.843254557926,1.444366440642,12.48753824357,-3780.636709067,719.4312448846,0,0,86407.400,2163,0,0,7396.776811157
